Date,GRG.L,JD.L,MAB.L,NXT.L,SMWH.L
2022-11-11,2237.8095703125,120.46791076660156,148.0,5709.86572265625,1375.9710693359375
2022-11-14,2267.77978515625,119.56816864013672,147.8000030517578,5771.7998046875,1414.9417724609375
2022-11-15,2259.7880859375,119.7181167602539,141.89999389648438,5719.85498046875,1409.94580078125
2022-11-16,2215.8310546875,114.91940307617188,136.10000610351562,5566.02099609375,1370.47509765625
2022-11-17,2193.8525390625,114.6194839477539,134.8000030517578,5534.05419921875,1364.4794921875
2022-11-18,2225.8212890625,119.56816864013672,137.10000610351562,5725.84814453125,1379.9678955078125
2022-11-21,2229.817626953125,120.06803894042969,135.10000610351562,5659.91845703125,1363.4803466796875
2022-11-22,2237.8095703125,123.2671890258789,135.89999389648438,5695.88037109375,1395.9559326171875
2022-11-23,2265.7822265625,126.21639251708984,140.39999389648438,5709.86572265625,1386.962646484375
2022-11-24,2289.7587890625,125.66653442382812,142.89999389648438,5739.833984375,1390.959716796875
2022-11-25,2287.760986328125,124.51685333251953,144.0,5745.8271484375,1387.4625244140625
2022-11-28,2271.77587890625,124.46685028076172,141.39999389648438,5699.876953125,1395.9559326171875
2022-11-29,2285.7626953125,124.4168701171875,139.1999969482422,5733.83984375,1403.450439453125
2022-11-30,2313.735107421875,126.01646423339844,138.89999389648438,5833.732421875,1411.944091796875
2022-12-01,2333.7158203125,127.96592712402344,143.89999389648438,5808.41650390625,1405.9486083984375
2022-12-02,2381.668701171875,128.76573181152344,144.1999969482422,5828.3974609375,1441.4222412109375
2022-12-05,2367.682861328125,128.61573791503906,144.8000030517578,5848.37890625,1451.914306640625
2022-12-06,2355.694580078125,126.41633605957031,142.0,5856.37060546875,1463.9052734375
2022-12-07,2347.7021484375,126.11642456054688,151.1999969482422,5874.35400390625,1445.9188232421875
2022-12-08,2333.7158203125,123.16847229003906,135.8000030517578,5804.4208984375,1411.944091796875
2022-12-09,2363.6865234375,122.8685531616211,137.1999969482422,5840.38623046875,1445.4189453125
2022-12-12,2351.6982421875,120.86907196044922,128.10000610351562,5780.4443359375,1456.410888671875
2022-12-13,2381.668701171875,122.56863403320312,134.60000610351562,5874.35400390625,1508.87158203125
2022-12-14,2387.662841796875,121.56889343261719,131.6999969482422,5916.3134765625,1536.3509521484375
2022-12-15,2401.64892578125,118.91956329345703,133.10000610351562,5736.486328125,1499.37890625
2022-12-16,2371.678466796875,118.06978607177734,132.6999969482422,5620.59765625,1456.410888671875
2022-12-19,2323.725341796875,115.62040710449219,135.5,5524.68994140625,1461.90673828125
2022-12-20,2289.7587890625,113.22101593017578,134.0,5502.7109375,1435.9261474609375
2022-12-21,2353.696044921875,120.1192626953125,138.5,5652.56689453125,1485.888916015625
2022-12-22,2339.7099609375,119.21949005126953,135.0,5592.62451171875,1496.3809814453125
2022-12-23,2355.694580078125,119.51942443847656,137.5,5600.6162109375,1476.8956298828125
2022-12-28,2345.70361328125,122.1187515258789,137.1999969482422,5652.56689453125,1490.3856201171875
2022-12-29,2353.696044921875,123.11848449707031,141.0,5746.4765625,1478.8941650390625
2022-12-30,2343.705810546875,126.11772155761719,138.0,5800.42431640625,1483.3907470703125
2023-01-03,2385.6650390625,129.66680908203125,143.10000610351562,5950.28076171875,1514.8670654296875
2023-01-04,2439.61181640625,135.2154083251953,149.0,6092.14404296875,1552.3389892578125
2023-01-05,2415.635498046875,139.3643341064453,151.10000610351562,6511.7412109375,1572.9158935546875
2023-01-06,2383.666748046875,142.51353454589844,151.8000030517578,6475.77587890625,1577.4127197265625
2023-01-09,2441.6103515625,140.5640411376953,156.5,6447.802734375,1565.4210205078125
2023-01-10,2483.56884765625,140.8639373779297,158.3000030517578,6259.98291015625,1577.91259765625
2023-01-11,2479.572998046875,150.71142578125,162.6999969482422,6395.8525390625,1573.4156494140625
2023-01-12,2523.5302734375,159.65911865234375,170.6999969482422,6605.650390625,1568.918701171875
2023-01-13,2525.528076171875,160.05905151367188,170.10000610351562,6577.67822265625,1601.396484375
2023-01-16,2577.476806640625,161.7086181640625,174.0,6627.62939453125,1626.379150390625
2023-01-17,2577.476806640625,158.45944213867188,166.60000610351562,6609.64697265625,1615.88623046875
2023-01-18,2633.42236328125,155.9600830078125,167.5,6537.7158203125,1568.918701171875
2023-01-19,2605.44970703125,152.7108917236328,166.5,6395.8525390625,1537.9400634765625
2023-01-20,2625.43017578125,156.95982360839844,171.3000030517578,6429.8193359375,1587.4061279296875
2023-01-23,2629.42626953125,158.75936889648438,168.60000610351562,6451.79833984375,1586.90625
2023-01-24,2673.383544921875,160.80885314941406,171.0,6499.75244140625,1582.4093017578125
2023-01-25,2645.410400390625,160.60888671875,163.39999389648438,6463.78759765625,1592.402587890625
2023-01-26,2643.41259765625,164.35794067382812,163.0,6577.67822265625,1562.9228515625
2023-01-27,2685.37158203125,161.55865478515625,161.0,6629.62744140625,1593.4017333984375
2023-01-30,2701.35595703125,162.35845947265625,166.39999389648438,6641.61572265625,1596.8995361328125
2023-01-31,2691.36572265625,162.7083740234375,164.60000610351562,6611.64501953125,1594.4012451171875
2023-02-01,2697.359619140625,163.2582244873047,163.8000030517578,6635.62158203125,1629.376953125
2023-02-02,2817.242431640625,181.4535675048828,173.89999389648438,6929.33984375,1672.347412109375
2023-02-03,2799.260009765625,186.6022491455078,172.1999969482422,6973.2978515625,1687.3370361328125
2023-02-06,2771.287353515625,182.10337829589844,167.89999389648438,6793.47021484375,1663.3536376953125
2023-02-07,2723.334228515625,179.40408325195312,166.3000030517578,6719.54150390625,1665.8519287109375
2023-02-08,2753.30517578125,181.0536651611328,161.6999969482422,6853.41259765625,1671.8477783203125
2023-02-09,2729.32861328125,181.70350646972656,166.0,6875.39111328125,1679.3426513671875
2023-02-10,2639.41650390625,178.854248046875,163.3000030517578,6723.537109375,1652.861083984375
2023-02-13,2699.35791015625,180.9036865234375,165.10000610351562,6743.51806640625,1656.858154296875
2023-02-14,2697.359619140625,178.3043670654297,157.6999969482422,6705.5546875,1672.8470458984375
2023-02-15,2737.32080078125,181.9534454345703,159.8000030517578,6801.46240234375,1692.333740234375
2023-02-16,2727.330078125,183.003173828125,162.10000610351562,6833.431640625,1702.3267822265625
2023-02-17,2713.343994140625,180.7537384033203,161.3000030517578,6883.3837890625,1712.8193359375
2023-02-20,2709.34814453125,179.4540557861328,161.0,6859.40673828125,1683.8394775390625
2023-02-21,2707.349853515625,180.70376586914062,160.10000610351562,6805.458984375,1649.86279296875
